en,fr,it,de,es,ko,kana
IPO,Œuf,Uovo,Ei,Huevo,알,タマゴ
Applion,Bulbizarre,Bulbasaur,Bisasam,Bulbasaur,이상해씨,フシギダネ
Optolisk,Herbizarre,Ivysaur,Bisaknosp,Ivysaur,이상해풀,フシギソウ
Abcellyx,Florizarre,Venusaur,Bisaflor,Venusaur,이상해꽃,フシギバナ
Nvidrake,Salamèche,Charmander,Glumanda,Charmander,파이리,ヒトカゲ
Adobemoth,Reptincel,Charmeleon,Glutexo,Charmeleon,리자드,リザード
Aehrion,Dracaufeu,Charizard,Glurak,Charizard,리자몽,リザードン
Teslazar,Carapuce,Squirtle,Schiggy,Squirtle,꼬부기,ゼニガメ
Aegisurge,Carabaffe,Wartortle,Schillok,Wartortle,어니부기,カメール
Alabyrinth,Tortank,Blastoise,Turtok,Blastoise,거북왕,カメックス
Amdeon,Chenipan,Caterpie,Raupy,Caterpie,캐터피,キャタピー
Amatherium,Chrysacier,Metapod,Safcon,Metapod,단데기,トランセル
Ambaraven,Papilusion,Butterfree,Smettbo,Butterfree,버터플,バタフリー
Coinraith,Aspicot,Weedle,Hornliu,Weedle,뿔충이,ビードル
Amcthulhu,Coconfort,Kakuna,Kokuna,Kakuna,딱충이,コクーン
Amkorax,Dardargnan,Beedrill,Bibor,Beedrill,독침붕,スピアー
Metamorph,Roucool,Pidgey,Taubsi,Pidgey,구구,ポッポ
Anetheron,Roucoups,Pidgeotto,Tauboga,Pidgeotto,피죤,ピジョン
Aplidra,Roucarnage,Pidgeot,Tauboss,Pidgeot,피죤투,ピジョット
Palantheon,Rattata,Rattata,Rattfratz,Rattata,꼬렛,コラッタ
Appallon,Rattatac,Raticate,Rattikarl,Raticate,레트라,ラッタ
Netflixis,Piafabec,Spearow,Habitak,Spearow,깨비참,オニスズメ
Asmolith,Rapasdepic,Fearow,Ibitak,Fearow,깨비드릴조,オニドリル
Amazorgon,Abo,Ekans,Rettan,Ekans,아보,アーボ
Astraseraph,Arbok,Arbok,Arbok,Arbok,아보크,アーボック
Auroryx,Pikachu,Pikachu,Pikachu,Pikachu,피카츄,ピカチュウ
Avavulture,Raichu,Raichu,Raichu,Raichu,라이츄,ライチュウ
Avgoliath,Sabelette,Sandshrew,Sandan,Sandshrew,모래두지,サンド
Axonyx,Sablaireau,Sandslash,Sandamer,Sandslash,고지,サンドパン
Axtiger,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,ニドラン♀
Boewyrm,Nidorina,Nidorina,Nidorina,Nidorina,니드리나,ニドリーナ
Babaroc,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,ニドクイン
Blackbriar,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,ニドラン♂
Bloomkindle,Nidorino,Nidorino,Nidorino,Nidorino,니드리노,ニドリーノ
Bondwarden,Nidoking,Nidoking,Nidoking,Nidoking,니드킹,ニドキング
Bullwark,Mélofée,Clefairy,Piepi,Clefairy,삐삐,ピッピ
Cerebraxis,Mélodelfe,Clefable,Pixi,Clefable,픽시,ピクシー
Googolem,Goupix,Vulpix,Vulpix,Vulpix,식스테일,ロコン
Carnivyre,Feunard,Ninetales,Vulnona,Ninetales,나인테일,キュウコン
Costaurus,Rondoudou,Jigglypuff,Pummeluff,Jigglypuff,푸린,プリン
Constellyon,Grodoudou,Wigglytuff,Knuddeluff,Wigglytuff,푸크린,プクリン
Microstryx,Nosferapti,Zubat,Zubat,Zubat,주뱃,ズバット
Celsyrax,Nosferalto,Golbat,Golbat,Golbat,골뱃,ゴルバット
Cienath,Mystherbe,Oddish,Myrapla,Oddish,뚜벅쵸,ナゾノクサ
Clovyre,Ortide,Gloom,Duflor,Gloom,냄새꼬,クサイハナ
Celestrix,Rafflesia,Vileplume,Giflor,Vileplume,라플레시아,ラフレシア
Sparkraken,Paras,Paras,Paras,Paras,파라스,パラス
Cohryst,Parasect,Parasect,Parasek,Parasect,파라섹트,パラセクト
Microsoftus,Mimitoss,Venonat,Bluzuk,Venonat,콘팡,コンパン
Circulith,Aéromite,Venomoth,Omot,Venomoth,도나리,モルフォン
