en,fr,it,de,es,ko,kana
An error occured while contacting the server. Please try again later.,Une erreur s'est produite lors de la communication avec le serveur. Veuillez réessayer plus tard.,An error occured while contacting the server. Please try again later.,An error occured while contacting the server. Please try again later.,An error occured while contacting the server. Please try again later.,An error occured while contacting the server. Please try again later.,An error occured while contacting the server. Please try again later.
Invalid code. Please check the code and try again.,Code invalide. Veuillez vérifier le code et réessayer.,Invalid code. Please check the code and try again.,Invalid code. Please check the code and try again.,Invalid code. Please check the code and try again.,Invalid code. Please check the code and try again.,Invalid code. Please check the code and try again.
Gift(s) found, Cadeau(x) trouvé(s),Gift(s) found,Gift(s) found,Gift(s) found,Gift(s) found,Gift(s) found
"No gift(s) available at the moment, please try again later.","Pas de cadeau disponible pour le moment, veuillez réessayer plus tard.","No gift(s) available at the moment, please try again later.","No gift(s) available at the moment, please try again later.","No gift(s) available at the moment, please try again later.","No gift(s) available at the moment, please try again later.","No gift(s) available at the moment, please try again later."
An error occured while claiming the gift. Error: ,Une erreur s'est produite lors de la réclamation du cadeau. Erreur : ,An error occured while claiming the gift. Error: ,An error occured while claiming the gift. Error: ,An error occured while claiming the gift. Error: ,An error occured while claiming the gift. Error: ,An error occured while claiming the gift. Error: 
Enter the code to claim your gift,Entrez le code pour réclamer votre cadeau,Enter the code to claim your gift,Enter the code to claim your gift,Enter the code to claim your gift,Enter the code to claim your gift,Enter the code to claim your gift
You have received the gift [GIFT]!, Vous avez reçu le cadeau [GIFT] ! ,You have received the gift [GIFT]!,You have received the gift [GIFT]!,You have received the gift [GIFT]!,You have received the gift [GIFT]!,You have received the gift [GIFT]!
The maximum number of claims for this gift has been reached.,Le nombre maximum de réclamations pour ce cadeau a été atteint.,The maximum number of claims for this gift has been reached.,The maximum number of claims for this gift has been reached.,The maximum number of claims for this gift has been reached.,The maximum number of claims for this gift has been reached.,The maximum number of claims for this gift has been reached.
You are not eligible to claim this gift.,Vous n'êtes pas éligible pour réclamer ce cadeau.,You are not eligible to claim this gift.,You are not eligible to claim this gift.,You are not eligible to claim this gift.,You are not eligible to claim this gift.,You are not eligible to claim this gift.
An unexpected error occurred. Please try again later.,Une erreur inattendue s'est produite. Veuillez réessayer plus tard.,An unexpected error occurred. Please try again later.,An unexpected error occurred. Please try again later.,An unexpected error occurred. Please try again later.,An unexpected error occurred. Please try again later.,An unexpected error occurred. Please try again later.
No response from the server. Please check your internet connection and try again.,Aucune réponse du serveur. Veuillez vérifier votre connexion Internet et réessayer.,No response from the server. Please check your internet connection and try again.,No response from the server. Please check your internet connection and try again.,No response from the server. Please check your internet connection and try again.,No response from the server. Please check your internet connection and try again.,No response from the server. Please check your internet connection and try again.
Receiving your gift...,Réception du cadeau en cours...,Receiving your gift...,Receiving your gift...,Receiving your gift...,Receiving your gift...,Receiving your gift...
